toxin_type,toxin_label,province,measured,detected,detection_rate,mean_positive_concentration_ug_kg,max_positive_concentration_ug_kg
AFB2,Aflatoxin B2,Suphan Buri,4,0,0.0,0.0,0.0
AFB2,Aflatoxin B2,Surin,37,0,0.0,0.0,0.0
AFB2,Aflatoxin B2,Takhmao,3,0,0.0,0.0,0.0
AFB2,Aflatoxin B2,Ubon Ratchathani,43,0,0.0,0.0,0.0
AFB2,Aflatoxin B2,Yala,4,0,0.0,0.0,0.0
AFB2,Aflatoxin B2,Yasothon,20,0,0.0,0.0,0.0
AFG1,Aflatoxin G1,Unspecified area,48,2,0.041667,0.18,0.21
AFG1,Aflatoxin G1,Amnart Charoen,15,0,0.0,0.0,0.0
AFG1,Aflatoxin G1,Bangkok,1,0,0.0,0.0,0.0
AFG1,Aflatoxin G1,Chaiyaphum,1,0,0.0,0.0,0.0
AFG1,Aflatoxin G1,Chiang Mai,86,0,0.0,0.0,0.0
AFG1,Aflatoxin G1,Chiang Rai,21,0,0.0,0.0,0.0
AFG1,Aflatoxin G1,Kalasin,2,0,0.0,0.0,0.0
AFG1,Aflatoxin G1,Kampong Thom,2,0,0.0,0.0,0.0
AFG1,Aflatoxin G1,Kampot,1,0,0.0,0.0,0.0
AFG1,Aflatoxin G1,Lampang,21,0,0.0,0.0,0.0
AFG1,Aflatoxin G1,Mahasarakham,10,0,0.0,0.0,0.0
AFG1,Aflatoxin G1,Mukdahan,15,0,0.0,0.0,0.0
AFG1,Aflatoxin G1,Nakhon Pathom,32,0,0.0,0.0,0.0
AFG1,Aflatoxin G1,Narathiwat,18,0,0.0,0.0,0.0
AFG1,Aflatoxin G1,Pathum Thani,6,0,0.0,0.0,0.0
AFG1,Aflatoxin G1,Pha Yao,17,0,0.0,0.0,0.0
AFG1,Aflatoxin G1,Phayao,6,0,0.0,0.0,0.0
AFG1,Aflatoxin G1,Phichit,2,0,0.0,0.0,0.0
AFG1,Aflatoxin G1,Phnom Phen,4,0,0.0,0.0,0.0
AFG1,Aflatoxin G1,Roi Et,53,0,0.0,0.0,0.0
AFG1,Aflatoxin G1,Si Sa Ket,23,0,0.0,0.0,0.0
AFG1,Aflatoxin G1,Siem Reap,4,0,0.0,0.0,0.0
